Age,Income,LoanAmount,CreditScore,YearsExperience,Gender,Education,City,EmploymentType,LoanApproved,LoanDate
56,48353.0,31258.0,675,20,Female,High School,Houston,Unemployed,0,2022-01-28
69,57462.0,23262.0,586,6,Male,High School,San Francisco,Self-Employed,0,2019-07-01
46,44219.0,26530.0,781,26,Male,PhD,Houston,Self-Employed,1,2019-11-25
32,56307.0,11531.0,549,11,Male,Unknown,New York,Unemployed,0,2021-10-18
60,37034.0,27871.0,500,19,Female,High School,Chicago,Unemployed,0,2021-05-07
25,47886.0,18106.0,835,13,Male,Masters,New York,Salaried,1,2019-01-28
38,54748.0,25374.0,760,9,Female,High School,New York,Self-Employed,1,2023-02-24
56,49488.0,6279.0,599,22,Male,PhD,New York,Unemployed,0,2022-03-28
36,25918.0,25041.0,777,29,Female,Bachelors,San Francisco,Unemployed,0,2022-11-27
40,43415.0,2065.0,382,30,Female,High School,San Francisco,Self-Employed,0,2019-08-13
28,75162.0,17793.0,757,9,Female,PhD,New York,Unemployed,0,2021-08-21
28,42613.0,6356.0,597,18,Female,High School,San Francisco,Self-Employed,0,2018-06-28
41,50237.0,25064.0,663,18,Female,PhD,Houston,Unemployed,0,2018-01-11
53,48699.0,20554.0,579,22,Female,Unknown,Chicago,Self-Employed,0,2020-10-21
57,49488.0,13834.0,639,31,Male,Masters,San Francisco,Salaried,1,2022-09-28
41,69356.0,31475.0,815,19,Female,Bachelors,San Francisco,Unemployed,0,2025-10-04
20,62113.0,12827.0,407,3,Male,Bachelors,New York,Unemployed,1,2022-05-11
19,55388.0,24109.0,413,0,Female,PhD,Houston,Salaried,0,2024-09-21
41,49488.0,5867.0,466,12,Male,Bachelors,Houston,Unemployed,0,2020-07-15
61,39521.0,13080.0,560,2,Female,Masters,Chicago,Unemployed,0,2023-06-20
47,36942.0,15861.0,523,11,Male,Masters,Houston,Self-Employed,1,2021-03-26
55,75575.0,8608.0,561,28,Female,High School,Chicago,Unemployed,0,2024-02-05
19,45488.0,16050.0,550,30,Male,Masters,New York,Unemployed,0,2024-01-04
38,74225.0,8758.0,825,35,Male,Bachelors,Houston,Self-Employed,1,2021-03-12
